region_name,count,mean,min,max
Hl. m. Praha,5547,219.77068685776095,1,7262
Jihomoravský,3879,174.451405001289,1,2587
Jihočeský,3234,91.70191713048855,1,1047
Karlovarský,2730,69.31355311355311,1,1585
Královéhradecký,3427,111.73387802742924,1,2283
Liberecký,2857,95.95134756737836,1,3622
Moravskoslezský,3305,133.96974281391832,1,2628
Olomoucký,2859,121.0150402238545,1,1360
Pardubický,2932,89.92735334242838,1,1118
Plzeňský,3657,118.88898003828274,1,1817
Středočeský,2250,113.90577777777777,1,1098
Vysočina,663,102.89291101055807,1,1291
Zlínský,237,66.9324894514768,1,580
Ústecký,3725,93.64617449664429,1,1597
